name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
한태진,1961/04/08,DF,175,68,1983,1983,1,1,0,0,4
변병주,1961/04/26,FW,174,69,1983,1991,9,131,28,16,4
정기동,1961/05/13,GK,182,69,1983,1991,9,135,0,0,5
김만수,1961/06/19,FW,175,64,1983,1985,2,5,0,0,6
김경호,1961/10/17,MF,168,64,1983,1988,4,57,8,3,10
백남수,1961/11/10,MF,170,65,1983,1986,4,58,3,3,11
최순호,1962/01/10,FW,185,78,1983,1991,9,100,23,19,1
김완수,1962/01/13,FW,168,64,1983,1986,4,54,7,2,1
전종선,1962/02/15,DF,175,68,1983,1985,3,19,0,2,2
최인영,1962/03/05,GK,184,73,1983,1996,14,176,0,0,3
이중갑,1962/07/06,DF,173,70,1983,1988,4,52,1,1,7
고의석,1962/10/15,DF,178,72,1983,1985,4,26,0,2,10
신동철,1962/11/09,NA,169,67,1983,1993,9,148,16,22,11
박기형,1963/04/21,MF,170,61,1983,1989,2,5,0,0,4
김풍주,1964/10/01,GK,191,75,1983,1996,12,181,0,0,10
강영철,NA,MF,NA,NA,1983,1983,1,1,0,0,NA
민병욱,NA,FW,NA,NA,1983,1983,1,5,1,0,NA
송재용,NA,GK,NA,NA,1983,1983,1,1,0,0,NA
김진국,1951/09/14,FW,165,64,1984,1984,1,15,2,3,9
황재만,1953/01/24,MF,172,70,1984,1984,1,1,0,0,1
신현호,1953/09/21,FW,165,65,1984,1985,2,36,2,6,9
손종석,1954/03/10,MF,168,63,1984,1984,1,3,0,0,3
한문배,1954/03/22,DF,172,64,1984,1986,3,75,7,4,3
이강민,1954/07/21,FW,173,70,1984,1984,1,10,3,1,7
김황호,1954/08/15,GK,175,73,1984,1986,3,27,0,0,8
박용주,1954/10/13,FW,167,68,1984,1985,2,14,0,1,10
박병철,1954/11/25,MF,177,70,1984,1984,1,16,0,0,11
허정무,1955/01/13,MF,176,74,1984,1986,3,39,5,5,1
전인석,1955/09/25,NA,176,68,1984,1985,2,31,0,0,9
정태영,1956/08/04,DF,173,68,1984,1985,2,27,0,0,8
홍종원,1956/08/04,FW,174,68,1984,1984,1,2,0,1,8
김병환,1956/10/10,FW,183,77,1984,1984,1,18,3,0,10
